reg,dept,sem,sub,credit,ftrack,scode,
2015A,cse,1,TECHNICAL ENGLISH- I,4,no,15ENH01,
2015A,cse,1,MATHEMATICS-I,4,no,15MAB01,
2015A,cse,1,ENGINEERING PHYSICS-I,3,no,15PHB02,
2015A,cse,1,ENGINEERING CHEMISTRY-I,3,no,15CHB03,
2015A,cse,1,BASIC CIVIL&MECHANICAL ENGINEERING,3,no,15CMS01,
2015A,cse,1,C PROGRAMMING,3,no,15CPS03,
2015A,cse,1,C PROGRAMMING LAB,1,no,15CPS72,
2015A,cse,1,ENGINEERING PRACTICE LAB,1,no,15EPS71,
2015A,cse,1,BASIC SCIENCES-I LAB,2,no,15PCB71,
2015A,cse,2,TECHNICAL ENGLISH-II,3,no,15ENH02,
2015A,cse,2,MATHEMATICS-II,4,no,15MAB04,
2015A,cse,2,PHYSICS OF MATERIALS,3,no,15PHB06,
2015A,cse,2,ELECTRIC CIRCUITS AND ELECTRON DEVICES,3,no,15EDS04,
2015A,cse,2,ENGINEERING GRAPHICS,4,no,15EGS05,
2015A,cse,2,DATA STRUCTURES-I,3,no,15CSC01,
2015A,cse,2,DATA STRUCTURES-I LAB,1,no,15CSC71,
2015A,cse,2,CIRCUIT AND DEVICES LAB,1,no,15CDS73,
2015A,cse,2,COMMUNICATION SKILLS LAB,1,no,15ENH71,
2015A,cse,3,MATHEMATICS-III,4,no,15MAB09,
2015A,cse,3,ENVIRONMENTAL SCIENCE AND ENGINEERING,3,no,15CSH03,
2015A,cse,3,COMPUTER ORGANIZATION & ARCHITECTURE,3,no,15CSC02,
2015A,cse,3,OBJECT ORIENTED PROGRAMMING,3,no,15CSC03,
2015A,cse,3,ANALOG AND DIGITAL COMMUNICATION,3,no,15CSS05,
2015A,cse,3,DATA STRUCTURES-II,3,no,15CSC04,
2015A,cse,3,DATA STRUCTURES-II LAB,2,no,15CSC72,
2015A,cse,3,OBJECT ORIENTED PROGRAMMING LAB,1,no,15CSC73,
2015A,cse,3,DIGITAL ELECTRONICS AND COMMUNICATION LAB,1,no,15CSS74,
2015A,cse,4,DISCRETE MATHEMATICS,4,no,15MAB12,
2015A,cse,4,DESIGN AND ANALYSIS OF ALGORITHM,3,no,15CSC05,
2015A,cse,4,MICROPROCESSORS AND MICROCONTROLLERS,3,no,15CSS06,
2015A,cse,4,OPERATING SYSTEMS,3,no,15CSC06,
2015A,cse,4,DATABASE MANAGEMENT SYSTEMS,3,no,15CSC07,
2015A,cse,4,OPEN ELECTIVE-I,3,no,15CSXXX,
2015A,cse,4,OPERATING SYSTEMS LAB,2,no,15CSC74,
2015A,cse,4,DATABASE MANAGEMENT SYSTEMS LAB,2,no,15CSC75,
2015A,cse,4,MICROPROCESSORS AND MICROCONTROLLERS LAB,2,no,15CSS75,
2015A,cse,5,PROBABILITY AND QUEUING THEORY,4,no,15MAB13,
2015A,cse,5,SOFTWARE ENGINEERING,3,no,15CSC08,
2015A,cse,5,COMPUTER NETWORKS,3,no,15CSC09,
2015A,cse,5,THEORY OF COMPUTATION,4,no,15CSC10,
2015A,cse,5,JAVA PROGRAMMING,3,no,15CSC11,
2015A,cse,5,ELECTIVE SUBJECT-I,3,no,15CSXXX,
2015A,cse,5,FASTRACK SUBJECT,3,yes,15CSXXX,
2015A,cse,5,NETWORKS LAB,1,no,15CSC76,
2015A,cse,5,JAVA PROGRAMMING LAB,1,no,15CSC77,
2015A,cse,5,PRESENTATON / SEMINOR,1,no,15CSZ01,
2015A,cse,6,ARTIFICIAL INTELLIGENCE,3,no,15CSC12,
2015A,cse,6,SYSTEM SOFTWARE AND COMPILER DESIGN,3,no,15CSC13,
2015A,cse,6,WEB APPLICATION PROGRAMMING,4,no,15CSC14,
2015A,cse,6,OBJECT ORIENTED ANALYSIS AND DESIGN,3,no,15CSC15,
2015A,cse,6,MOBILE AND PERVASIVE COMPUTING,4,no,15CSC16,
2015A,cse,6,ELECTIVE SUBJECT-II,3,no,15CSXXX,
2015A,cse,6,FASTRACK SUBJECT,3,yes,15CSXXX,
2015A,cse,6,SYSTEM SOFTWARE AND COMPILER DESIGN LAB,2,no,15CSC78,
2015A,cse,6,CASE TOOLS LAB,1,no,15CSC79,
2015A,cse,6,MINI PROJECT,2,no,15CSZ02,
2015A,cse,7,GRAPHICS AND MULTIMEDIA,3,no,15CSC17,
2015A,cse,7,C# AND .NET TECHNOLOGIES,3,no,15CSC18,
2015A,cse,7,CRYPTOGRAPHY AND NETWORK SECURITY,4,no,15CSC19,
2015A,cse,7,OPEN ELECTIVE-II,3,no,15CSXXX,
2015A,cse,7,ELECTIVE SUBJECT-III,3,no,15CSXXX,
2015A,cse,7,ELECTIVE SUBJECT-IV,3,no,15CSXXX,
2015A,cse,7,FASTRACK SUBJECT,3,yes,15CSXXX,
2015A,cse,7,GRAPHICS AND MULTIMEDIA LAB,2,no,15CSC80,
2015A,cse,7,C# AND .NET LAB,1,no,15CSC81,
2015A,cse,8,ELECTIVE SUBJECT-V,3,no,15CSXXX,
2015A,cse,8,ELECTIVE SUBJECT-VI,3,no,15CSXXX,
2015A,cse,8,ELECTIVE SUBJECT-VII,3,no,15CSXXX,
2015A,cse,8,PROJECT WORK,10,no,15CSZ03,
2015A,ece,3,MATHEMATICS-III,4,no,15MAB09,
2015A,ece,3,CIRCUIT THEORY,4,no,15ECC01,
2015A,ece,3,ELECTRO MAGNETIC FIELD THEORY,3,no,15ECC02,
2015A,ece,3,DIGITAL ELECTRONICS,3,no,15ECC03,
2015A,ece,3,ELECTRONIC CIRCUITS-I,3,no,15ECC04,
2015A,ece,3,ENVIRONMENTAL SCIENCE AND ENGINEERING,3,no,15ECH01,
2015A,ece,3,ELECTRON DEVICES AND CIRCUITS LAB,1,no,15ECC71,
2015A,ece,3,DIGITAL ELECTRONICS LAB,1,no,15ECC72,
2015A,ece,4,PROBABILITY AND RANDOM PROCESSES,4,no,15MAB11,
2015A,ece,4,SIGNAL AND SYSTEMS,3,no,15ECC05,
2015A,ece,4,TRANSMISSION LINES AND WAVEGUIDES,3,no,15ECC06,
2015A,ece,4,MICROPROCESSORS AND MICROCONTROLLERS,3,no,15ECC07,
